Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
India,IND,412.509355760123,440.961454614021,442.034778917695,449.911124933268,468.84442830518,543.843798893951,624.105094371897,710.509344850714,802.01374204738,1022.73247550475,993.503412459599,1096.63613605864,1350.63445681517,1449.60330101065,1434.01797842656,1438.05699513067,1559.86377161811,1590.17432166504,1714.2795405846,1957.96981368095,1974.37773014516,2050.16378973235,1913.21972103493,2238.12713873311,2388.62119776762
United Kingdom,GBR,28296.760269205,28788.9692869593,28289.65268964,27888.6051075925,30078.6081337481,34480.941057112,40392.2648578651,42131.8270714745,44537.7123351892,50438.229599278,47432.8790970463,38820.0145894173,39693.1938701237,42150.6981408821,42485.5860695397,43449.0917173139,47447.5889322667,45071.0743234873,41146.0773555246,40622.6893883232,43306.3083049317,42747.080460496,40318.4169225055,46585.8975644567,45850.4261222629
Germany,DEU,27289.0593603191,26734.9425369252,23694.7604830673,23628.3272122367,25197.2656001848,30310.3575963774,34106.6581224001,34520.2396492496,36353.8803343631,41640.0808695147,45612.7106221441,41650.3678297162,41572.4559481517,46705.8957963357,43855.8544658618,46298.9229177345,48023.8699845455,41103.2564363768,42136.1207908003,44652.5891722723,47939.2782884496,46793.6867615995,46772.8253507537,51203.5544731043,48432.4558732596
France,FRA,24971.5744885632,24678.3910613218,22416.425417915,22449.3396931175,24288.2700193508,29627.92426353,33797.1624418436,34768.1759037525,36470.2128399313,41557.6235648179,45515.9617533473,41737.7635518137,40676.0647913191,43846.4660764801,40870.8523645734,42602.7179652671,43068.5487241732,36652.9223052178,37062.5335723839,38781.049487084,41557.8548588869,40494.8982936269,39055.2829280747,43658.9789781222,40963.837337041
China,CHN,828.594657681663,873.297610969115,959.360412054851,1053.11227201705,1148.51418772689,1288.63754323945,1508.66794598726,1753.41426293188,2099.21934229104,2693.95855454419,3468.32706307504,3832.2274278698,4550.47392427081,5614.38573851229,6300.58235236313,7020.38568208449,7636.07422276004,8016.44601585644,8094.39037512163,8817.04549566316,9905.4061175104,10143.8602060373,10408.7191247747,12617.5049863004,12720.2156397612
Japan,JPN,32423.7554482542,36610.1667092968,39169.3601759313,34406.1690160364,32820.788626377,35387.0483579741,38298.9801712303,37812.8910174761,35991.5423923387,35779.0156794464,39876.3062956324,41309.0016548642,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547,39986.9286287091,39827.1267678179,33815.3172733799
Canada,CAN,21024.509932241,22315.1742893999,24271.0020563821,23821.4455867378,24255.3385818322,28300.4630963791,32143.6814078562,36382.5079164537,40504.0607253203,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191,43349.677855557,52358.6216405155,54966.4888361088
United States,USA,32853.6769523009,34515.3902272076,36329.9560727102,37133.623113437,37997.7596573051,39490.2749557007,41724.6316287624,44123.4070679055,46302.0008800056,48050.2237771135,48570.0459804586,47194.9433547336,48650.6431283336,50065.9665041742,51784.4185738837,53291.1276891406,55123.8497869046,56762.7294515989,57866.7449341091,59907.754260885,62823.309438197,65120.3946628653,63528.6343027508,70219.472454115,76398.5917422054
Australia,AUS,21478.3851573346,20698.7127028167,21853.4499933573,19681.6450326534,20290.7804189053,23705.9072163917,30819.9934867745,34460.5429970479,36570.7630699009,41023.7548562293,49681.2190739771,42810.4658391817,52132.469607935,62598.6866176979,68047.3781775015,68156.3861047269,62515.3148315008,56708.96119674,49876.7123761245,53934.1543741253,57206.9906696898,54941.0657202842,51722.0690001531,60444.5023551978,64491.4298860631

