Country Name,Country Code,2022
India,IND,2388.62119776762
Maldives,MDV,11817.5239328803
France,FRA,40963.837337041
Germany,DEU,48432.4558732596
Italy,ITA,34157.990122464
Denmark,DNK,66983.1320017138
Finland,FIN,50536.6244670541
Spain,ESP,29350.1685214481
United Kingdom,GBR,45850.4261222629
Ukraine,UKR,4533.9755859375
Russian Federation,RUS,15345.0966796875
Netherlands,NLD,55985.4034255707
Portugal,PRT,24274.5165823077
Switzerland,CHE,92101.4697414382
Norway,NOR,106148.778627718
Greece,GRC,20732.0522190537
Morocco,MAR,3527.94189453125
"Egypt, Arab Rep.",EGY,4295.40749561014
Saudi Arabia,SAU,30436.2783034025
China,CHN,12720.2156397612
Australia,AUS,64491.4298860631
Japan,JPN,33815.3172733799
New Zealand,NZL,48249.2640150011
Singapore,SGP,82807.6490834764
Thailand,THA,6908.80211929543
Malaysia,MYS,11971.9275991535
Uganda,UGA,964.224385224431
South Africa,ZAF,6776.48007742932
Nigeria,NGA,2184.42149316828
Central African Republic,CAF,427.058096252078
"Congo, Rep.",COG,2447.98898873051
Ethiopia,ETH,1027.58591828225
Kenya,KEN,2099.30193826696
Argentina,ARG,13686.0086737317
Brazil,BRA,8917.67389796927
Chile,CHL,15355.5064965406
Mexico,MEX,11091.3054302538
Puerto Rico,PRI,35208.6371888414
Peru,PER,7125.8292350929
Canada,CAN,54966.4888361088
United States,USA,76398.5917422054
Pakistan,PAK,1596.66266149236
Austria,AUT,52131.4466586387
Belgium,BEL,49582.8253649187
Ireland,IRL,104038.946076296
Iceland,ISL,72902.9799538499
Poland,POL,18321.2808899533
Serbia,SRB,9393.62890629911
Slovak Republic,SVK,21258.1141354655
Algeria,DZA,4273.92218311515
Iran,IRN,4387.82571517872
Qatar,QAT,88046.3204155891
"Yemen, Rep.",YEM,676.928385042108
Mongolia,MNG,4946.75481125723
Philippines,PHL,3498.50981598253
Madagascar,MDG,505.035527643123
Mauritius,MUS,10216.2947440415
Nigeria,NGA,2184.42149316828
Somalia,SOM,461.775850005151
Sudan,SDN,1102.146484375
