Series Name,Series Code,Country Name,Country Code,1998 [YR1998],2010 [YR2010],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,India,IND,421351318896.874,1675615502766.2,3385089881935.39
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,2238990774702.68,3399667820000.09,4072191736089.51
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,1503108739159.44,2645187882116.73,2782905325624.52
GDP (current US$),NY.GDP.MKTP.CD,United Kingdom,GBR,1654996607708.19,2491397494467.95,3070667732359.21
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1029060706187.88,6087191720866.69,17963170521079.8
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,399660855999.457,1148569537284.62,1675418665067.09
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4098362688659.34,5759071769013.11,4231141201863.17
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,633997734246.945,1617343367486.26,2139840023673.81
GDP (current US$),NY.GDP.MKTP.CD,United States,USA,9062818202000,15048964444000,25462700000000
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 10/26/2023,,,,,,
